EXPERIENCE_DAYS,MEDIAN_PRICE,WEST,N_UNIQUE_CATEGORIES_,V_LEVEL
559,92.48,1,1,Level 4
732,203.73,0,2,Level 4
700,138.63,0,1,Level 4
289,67.98,1,3,Level 3
740,2,0,6,Level 3
352,1005.275,1,4,Level 4
112,319.25,0,3,Level 2
535,27.54,1,7,Level 4
203,112.03,1,2,Level 1
740,300,1,5,Level 4
552,44.42,1,3,Level 1
624,186.475,1,3,Level 3
389,60,0,3,Level 2
118,21.25,1,8,Level 2
220,16,1,3,Level 2
550,236,1,4,Level 4
367,13.56,0,4,Level 1
503,105,1,3,Level 3
604,102.705,1,7,Level 2
712,52.96,1,4,Level 4
450,623,1,2,Level 4
269,27.25,1,4,Level 4
490,63.215,0,4,Level 3
740,40.33,1,1,Level 1
568,257.06,0,2,Level 3
374,336.09,0,2,Level 3
550,59.99,0,6,Level 2
377,337.5,1,4,Level 3
767,67.88,1,1,Level 2
175,110.865,1,1,Level 2
228,75.22,1,3,Level 2
74,36.99,1,1,Level 1
293,45,1,1,Level 1
454,168.71,1,4,Level 2
326,59.79,0,5,Level 1
544,150,1,4,Level 3
622,67.79,1,2,Level 2
372,77.495,1,3,Level 4
411,130.41,1,3,Level 4
563,200,1,4,Level 4
495,94.55,1,3,Level 4
100,12.99,1,2,Level 2
740,186.875,1,4,Level 4
731,1930,1,1,Level 2
609,1325,0,1,Level 1
347,23.09,1,3,Level 1
302,534.12,0,3,Level 4
577,104,0,2,Level 4
420,273.955,0,4,Level 4
506,98.64,1,2,Level 3
684,87.7,1,4,Level 3
567,107.5,1,5,Level 1
85,18.275,1,2,Level 1
740,195,1,1,Level 4
579,775,1,2,Level 4
554,100,1,4,Level 3
360,58.75,1,4,Level 1
740,45.5,1,4,Level 4
554,127.19,1,2,Level 4
370,126.17,0,2,Level 2
638,244,1,1,Level 4
101,49.005,1,2,Level 2
24,10.58,1,1,Level 1
670,140.34,1,5,Level 4
769,48.13,1,4,Level 1
507,204.5,0,4,Level 4
49,50.53,1,2,Level 2
496,75,1,2,Level 3
692,339.5,1,1,Level 3
393,34.71,1,2,Level 1
496,596.38,1,1,Level 2
249,110,1,2,Level 2
173,155,1,1,Level 3
554,98.06,1,2,Level 1
50,129.75,0,3,Level 1
354,16.49,0,4,Level 1
467,127.5,1,3,Level 1
130,33.28,1,2,Level 1
271,52.82,0,3,Level 2
174,7,0,1,Level 1
207,445,1,4,Level 3
473,93,1,6,Level 2
348,39.545,1,3,Level 2
465,88.175,1,4,Level 3
198,152.915,1,1,Level 3
257,175,1,2,Level 4
439,50,1,2,Level 1
399,49.895,0,2,Level 1
506,587.5,1,2,Level 4
707,274.45,1,1,Level 4
82,143.175,0,4,Level 1
575,286.255,0,5,Level 4
744,60.69,1,8,Level 2
289,182.5,0,1,Level 2
316,58.31,1,1,Level 2
524,53.025,1,3,Level 1
676,325,1,2,Level 2
442,35.315,0,3,Level 2
740,10.75,1,1,Level 1
673,263.22,1,3,Level 3
506,70.09,0,3,Level 1
505,161.215,1,3,Level 4
388,32.53,1,3,Level 1
536,102.475,1,4,Level 3
451,235.79,1,1,Level 4
708,75,0,2,Level 1
578,98.09,1,2,Level 3
260,161.81,0,2,Level 3
282,100,1,5,Level 3
503,86,1,2,Level 2
733,354.87,1,1,Level 1
508,338.43,0,1,Level 4
703,260,1,2,Level 3
264,22.32,0,3,Level 1
195,267.06,1,2,Level 1
671,387,1,1,Level 4
81,0,0,1,Level 1
242,55,1,3,Level 3
64,76.31,1,2,Level 1
649,63.36,1,1,Level 2
733,21.64,1,3,Level 2
159,123.905,0,3,Level 1
621,54.405,1,1,Level 1
674,43.64,1,3,Level 4
284,63,1,3,Level 2
165,16.04,1,3,Level 1
550,184.385,1,3,Level 1
83,94,1,2,Level 1
91,53.665,1,3,Level 2
77,112.49,1,6,Level 1
503,85,1,2,Level 1
118,520,0,1,Level 2
498,147.5,1,3,Level 4
304,134.99,0,3,Level 1
545,200.74,1,3,Level 1
275,5,1,3,Level 1
187,227.5,1,1,Level 2
672,350,1,4,Level 4
173,61.25,1,4,Level 3
731,62.16,1,2,Level 4
156,53.14,1,2,Level 1
234,101.66,1,1,Level 3
402,156.72,1,5,Level 4
556,87.5,1,1,Level 3
439,74.245,0,2,Level 3
724,58.985,1,2,Level 3
228,40.69,1,4,Level 3
682,270.6,1,1,Level 1
79,242.5,1,1,Level 1
76,55.44,1,2,Level 1
212,50.165,1,4,Level 2
679,1275,1,3,Level 4
145,1.99,0,3,Level 1
740,9.98,0,6,Level 2
672,375.57,0,2,Level 2
208,81,1,5,Level 4
571,120,1,2,Level 4
719,66.25,1,3,Level 4
217,105.055,1,4,Level 3
132,87.5,1,3,Level 2
320,29.995,1,3,Level 3
579,85.36,1,4,Level 3
488,210,1,3,Level 4
335,245.54,1,3,Level 2
725,200,0,1,Level 1
264,210,1,2,Level 4
733,10,1,2,Level 2
22,90,1,2,Level 1
211,0,0,5,Level 2
113,109.18,0,4,Level 1
338,324.53,1,2,Level 1
693,988,1,4,Level 3
504,134.95,1,2,Level 3
44,110,1,4,Level 1
27,295,1,1,Level 1
57,24.82,1,3,Level 1
405,154,1,6,Level 3
271,350,0,6,Level 2
74,36.8,1,2,Level 1
675,340.29,0,5,Level 4
473,250,1,2,Level 1
505,53.84,1,1,Level 1
651,140.18,1,7,Level 1
404,202.19,0,3,Level 3
125,180,1,3,Level 1
579,227.5,0,3,Level 3
73,14.94,0,2,Level 2
552,59.265,1,1,Level 2
77,185.16,0,1,Level 1
478,12,1,4,Level 2
740,71.73,1,2,Level 4
169,955.34,1,2,Level 1
465,60.28,1,2,Level 1
150,122.5,1,2,Level 1
44,57.59,1,2,Level 1
405,147.95,1,1,Level 1
579,86.47,1,3,Level 4
165,65,1,2,Level 1
688,78.45,1,2,Level 1
730,208.27,1,5,Level 3
67,19.5,1,3,Level 1
246,60,1,3,Level 1
431,347.5,1,1,Level 3
231,73.5,1,6,Level 3
492,9.49,1,2,Level 1
685,55.12,1,2,Level 1
141,214.48,0,3,Level 1
312,180,1,4,Level 2
253,215,1,2,Level 2
72,239.49,1,1,Level 2
290,115.5,1,3,Level 2
