SALE_COKE_2WEEKS,N_LISTINGS,EXPERIENCE_DAYS,N_SALES
2,10,740,7731
0,6,550,6704
0,2,503,1419
1,2,712,7367
1,1,377,1320
0,2,228,569
0,2,454,658
5,9,670,11293
3,5,496,678
0,4,554,223
0,2,439,93
0,3,744,2539
3,3,316,306
1,3,388,1863
0,9,703,645
0,1,242,6966
5,3,64,127
0,2,165,225
0,4,503,503
0,2,156,218
0,2,682,16
0,1,212,577
0,2,679,2931
0,1,719,5135
0,2,132,679
3,5,579,1264
2,6,488,4090
0,2,335,614
2,2,504,2186
0,1,44,40
0,1,57,5
3,2,74,52
0,3,465,79
1,1,44,118
0,6,730,717
0,4,431,1443
0,1,231,1413
0,1,253,536
0,1,290,740
0,1,662,945
0,2,359,892
0,1,145,424
0,4,396,351
0,3,506,369
10,5,325,2681
4,5,142,435
0,3,362,204
0,1,42,30
0,1,754,505
0,4,506,1610
0,1,236,348
0,1,356,764
0,1,156,43
0,3,414,8323
0,2,498,465
7,3,171,936
0,2,412,490
1,1,40,3
0,11,253,18
0,5,69,28
0,3,175,672
0,3,144,103
0,2,726,1136
1,1,466,884
0,1,208,832
0,1,365,52
0,5,736,186
1,8,348,210
4,6,360,4061
0,2,76,301
0,5,328,220
0,3,163,176
1,1,59,147
0,4,501,1788
0,1,193,222
0,5,530,404
