Country,Per_capita_income_2007USD,Income_Inequality,Trust,Public_Expenditures,Homicides
Denmark                           ,36 800,0.247,2.86,15.6,0.8
Japan                             ,34 750,0.249,2.25,9.9,0.5
Sweden                            ,37 490,0.25,2.49,15.1,2.4
CzechRepublic ,22 690,0.254,2.35,10.9,2.2
Norway                            ,53 650,0.258,2.59,15.8,0.8
Finland                           ,34 760,0.269,2.48,12.2,2.8
Hungary                           ,17 470,0.269,1.88,11.2,2.1
Germany                           ,34 740,0.283,2.22,12.8,1
Slovenia                          ,26 230,0.284,2.12,12.6,1.5
Croatia                           ,15 540,0.29,1.92,10.8,1.8
Netherlands                       ,39 470,0.309,2.51,11.1,1
SouthKorea ,24 840,0.316,2.29,7.5,2.2
Taiwan                            ,17 230,0.326,2.72,10.3,1.2
Canada                            ,35 500,0.326,2.22,12,1.9
France                            ,33 850,0.327,2.04,14.1,1.6
Switzerland                       ,44 410,0.337,2.69,12.7,2.9
Ireland                           ,37 700,0.343,2.01,10.5,0.9
Poland                            ,15 500,0.345,1.95,9.7,1.6
Spain                             ,30 750,0.347,1.97,10,1.2
Australia                         ,33 400,0.352,2.18,11.2,1.3
UK                                ,34 050,0.36,2.14,12.4,2.1
NewZealand ,25 380,0.362,2.16,13,1.3
Latvia                            ,15 790,0.377,2.19,9.3,8.6
Portugal                          ,21 790,0.385,2.07,12.7,1.8
Israel                            ,26 310,0.392,2.09,13,2.6
RussianFederation ,14 330,0.399,1.98,7.3,19.9
USA                               ,45 840,0.408,2.04,12.8,5.6
Philippines                       ,3 710,0.445,2.04,4.1,4.3
Uruguay                           ,11 020,0.449,1.82,6.2,5.6
Venezuela                         ,12 290,0.482,1.84,5.6,33.2
Dominican Republic ,6 930,0.516,1.58,3.7,25.6
Chile                             ,12 330,0.549,1.91,6.4,1.7
SouthAfrica ,9 450,0.578,1.78,8.9,47.5
