students
,stud.id,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
1,833917,Female,19,160,64.8,Muslim,1.91,1st,Political Science,Social Sciences,NA,NA,0,0,NA
2,898539,Female,19,172,73,Other,1.56,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
3,379678,Female,22,168,70.6,Protestant,1.24,3rd,Social Sciences,Mathematics and Statistics,45,46,0,0,NA
4,807564,Male,19,183,79.7,Other,1.37,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
5,383291,Female,21,175,71.4,Catholic,1.46,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
6,256074,Male,19,189,85.8,Catholic,1.34,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
7,754591,Female,21,156,65.9,Protestant,1.11,2nd,Political Science,Social Sciences,NA,NA,0,0,NA
8,146494,Female,21,167,65.7,Other,2.03,3rd,Political Science,Economics and Finance,58,62,0,0,NA
9,723584,Male,18,195,94.4,Other,1.29,3rd,Economics and Finance,Environmental Sciences,57,67,0,0,NA
10,314281,Female,18,165,66,Orthodox,1.19,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
11,200803,Female,22,162,66.8,Other,1.04,4th,Economics and Finance,Environmental Sciences,62,61,1,1,45254.1080206875
12,444907,Female,18,172,66.8,Other,3.81,3rd,Environmental Sciences,Economics and Finance,76,82,0,0,NA
13,354271,Male,23,185,84.6,Orthodox,1,4th,Environmental Sciences,Mathematics and Statistics,71,76,1,1,40552.790242531
14,317812,Female,20,158,64.4,Catholic,2.5,6th,Environmental Sciences,Social Sciences,66,70,1,1,27007.0302942816
15,604115,Female,19,157,66.3,Orthodox,1.92,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
16,889551,Male,20,172,73.9,Other,3.61,4th,Mathematics and Statistics,Political Science,87,91,1,0,NA
17,350040,Female,22,156,61.7,Other,2.27,6th,Political Science,Biology,57,54,0,1,33969.1592680493
18,240279,Male,22,182,82.1,Catholic,1.42,1st,Economics and Finance,Environmental Sciences,NA,NA,0,0,NA
19,865835,Female,21,162,69.2,Catholic,1.32,3rd,Political Science,Environmental Sciences,69,46,1,0,NA
20,137196,Female,22,168,70.9,Protestant,2.33,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
21,708242,Female,20,167,68.5,Other,1.79,4th,Biology,Economics and Finance,77,80,1,0,NA
22,499002,Male,37,175,70.4,Protestant,1.97,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
23,873149,Male,19,164,70.3,Protestant,1.68,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
24,807361,Female,38,155,67,Catholic,2.3,2nd,Environmental Sciences,Biology,NA,NA,0,0,NA
25,531029,Male,23,183,81.8,Catholic,2.11,4th,Economics and Finance,Environmental Sciences,69,65,0,0,NA
26,970589,Female,26,145,54,Other,1.14,1st,Biology,Environmental Sciences,NA,NA,0,0,NA
27,250298,Female,25,161,66.8,Other,1.45,3rd,Social Sciences,Economics and Finance,45,37,1,0,NA
28,763393,Male,24,182,80.1,Protestant,1.09,5th,Economics and Finance,Social Sciences,61,73,1,1,50617.641869939
29,544433,Female,54,169,71.4,Protestant,1.75,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
30,252935,Male,22,172,69.6,Protestant,3.94,3rd,Mathematics and Statistics,Social Sciences,89,90,1,0,NA
31,453762,Male,23,172,73,Protestant,1.26,1st,Economics and Finance,Mathematics and Statistics,NA,NA,0,0,NA
32,759365,Male,19,192,88.9,Other,1.19,3rd,Social Sciences,Mathematics and Statistics,44,36,0,0,NA
33,662678,Male,22,175,72.6,Protestant,3.03,4th,Economics and Finance,Biology,65,70,1,0,NA
34,188703,Male,18,173,75.7,Other,1.19,4th,Environmental Sciences,Mathematics and Statistics,74,74,0,0,NA
35,806369,Female,20,170,71.6,Protestant,2.27,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
36,679521,Male,21,176,74.1,Other,4,3rd,Biology,Economics and Finance,72,75,1,0,NA
37,371307,Female,20,180,75.6,Protestant,1.09,1st,Political Science,Economics and Finance,NA,NA,0,0,NA
38,411253,Male,23,185,80.7,Orthodox,3.15,5th,Political Science,Mathematics and Statistics,54,46,0,1,37391.8723653863
39,835757,Female,22,172,68.3,Protestant,2.12,4th,Mathematics and Statistics,Environmental Sciences,86,92,1,1,35598.8816863469
40,232384,Female,21,171,74.5,Protestant,1.43,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
41,871735,Female,19,153,64.9,Catholic,1.15,2nd,Economics and Finance,Mathematics and Statistics,NA,NA,0,0,NA
42,503879,Female,20,157,64.4,Other,1.66,3rd,Social Sciences,Mathematics and Statistics,52,33,0,0,NA
43,186259,Male,23,190,89.3,Protestant,3.46,2nd,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
44,890074,Female,20,173,78.3,Orthodox,2.67,1st,Political Science,Social Sciences,NA,NA,0,0,NA
45,493398,Female,19,170,68,Other,2.45,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
46,902697,Male,19,160,62.2,Catholic,2.92,5th,Environmental Sciences,Economics and Finance,78,75,1,1,39703.7448849759
47,679949,Female,23,170,69.6,Orthodox,3.23,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
48,509606,Male,20,171,72.1,Protestant,2.03,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
49,773757,Female,22,160,66.2,Other,1.37,3rd,Biology,Environmental Sciences,83,73,1,0,NA
50,889115,Male,23,181,76.2,Orthodox,1.32,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
51,280980,Male,21,161,66.7,Catholic,1.41,3rd,Social Sciences,Political Science,55,42,0,0,NA
52,879108,Female,25,164,65.9,Other,1.43,2nd,Social Sciences,Economics and Finance,NA,NA,0,0,NA
53,756828,Male,24,170,68,Protestant,1.83,5th,Economics and Finance,Environmental Sciences,71,69,1,0,NA
54,873225,Male,20,174,72.8,Protestant,1.89,1st,Economics and Finance,Biology,NA,NA,0,0,NA
55,267025,Male,21,171,65.7,Catholic,2.77,>6th,Political Science,Mathematics and Statistics,57,58,1,1,30086.7648124516
56,865072,Male,22,184,83.3,Catholic,2.87,3rd,Economics and Finance,Biology,63,67,1,0,NA
57,180057,Male,19,173,73.2,Other,2.8,1st,Biology,Mathematics and Statistics,NA,NA,0,0,NA
58,350628,Female,20,167,73.3,Other,1.13,2nd,Political Science,Biology,NA,NA,0,0,NA
59,809000,Male,21,182,83.5,Protestant,2.23,1st,Biology,Economics and Finance,NA,NA,0,0,NA
60,286216,Female,23,159,63,Catholic,2.01,1st,Biology,Economics and Finance,NA,NA,0,0,NA
61,373120,Female,44,167,69,Catholic,2.51,4th,Political Science,Environmental Sciences,56,52,0,1,31494.3208154551
62,797140,Male,18,183,81.8,Other,3.14,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
63,201130,Female,21,157,62.9,Catholic,2.59,>6th,Environmental Sciences,Social Sciences,64,75,0,1,32519.2240810446
64,655450,Female,20,173,78.1,Protestant,2.08,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
65,401840,Female,32,171,67.6,Orthodox,1.53,3rd,Mathematics and Statistics,Economics and Finance,88,93,1,0,NA
66,358005,Male,20,182,77.4,Other,3.82,4th,Economics and Finance,Political Science,65,63,1,1,42593.2603821126
67,680483,Male,20,169,71.6,Other,3.8,4th,Economics and Finance,Environmental Sciences,73,73,0,1,60407.3172660035
68,275470,Male,22,167,65.9,Other,3.96,3rd,Mathematics and Statistics,Economics and Finance,89,93,1,0,NA
69,258961,Male,23,174,70.7,Orthodox,1.46,1st,Economics and Finance,Social Sciences,NA,NA,0,0,NA
70,495076,Male,41,194,94.9,Other,1.78,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
71,156460,Male,23,182,82.7,Other,1.22,4th,Social Sciences,Political Science,38,49,1,0,NA
72,249571,Female,24,152,64.9,Other,2.73,4th,Biology,Political Science,75,83,1,0,NA
73,962284,Female,20,154,63,Other,2.3,1st,Biology,Environmental Sciences,NA,NA,0,0,NA
74,870282,Female,24,159,60.6,Catholic,1.88,4th,Social Sciences,Mathematics and Statistics,42,42,0,0,NA
75,308092,Female,23,153,63.2,Other,3.18,3rd,Biology,Economics and Finance,76,75,1,0,NA
76,694127,Female,20,150,63.3,Other,2.62,2nd,Political Science,Biology,NA,NA,0,0,NA
77,841076,Female,19,167,72.8,Other,2.73,>6th,Biology,Political Science,74,81,0,1,49111.4274884341
78,794058,Female,25,149,56.2,Catholic,1.02,3rd,Economics and Finance,Environmental Sciences,76,61,1,0,NA
79,518947,Female,21,155,62.1,Catholic,1.36,2nd,Biology,Mathematics and Statistics,NA,NA,0,0,NA
80,216224,Male,22,177,77.5,Protestant,2.17,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
81,980136,Male,24,180,77.1,Orthodox,1.63,5th,Environmental Sciences,Political Science,69,68,1,1,33068.8486450596
82,253731,Female,24,159,62.2,Other,2.27,6th,Environmental Sciences,Biology,63,75,1,1,37803.5132086073
83,416538,Female,19,174,71.1,Catholic,1.42,3rd,Biology,Environmental Sciences,83,79,1,0,NA
84,888830,Male,23,174,74.9,Other,2.49,3rd,Economics and Finance,Social Sciences,71,74,0,0,NA
85,306032,Female,21,159,62.4,Protestant,1.76,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
86,536813,Female,19,160,65.3,Orthodox,1.38,4th,Biology,Environmental Sciences,78,76,0,0,NA
87,732709,Male,22,169,68,Orthodox,3.06,4th,Political Science,Economics and Finance,53,46,1,0,NA
